
Project:     session
Program:     Inertial Explorer Version 8.70.6912
Profile:     Mapper Localization Output
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\mapper.ai\Desktop\paccar_dual_lidar_collect_20190410\session.cts
ProcessInfo: session by Unknown on 4/11/2019 at 11:34:22

Datum:       WGS84
Master 1:    Name P221, Status ENABLED
             Antenna height 0.008 m, to ARP [TRM59800.00(SCIT)]
             Lat, Lon, El Hgt 37 20 13.03169, -122 05 56.59197, 155.301 m [WGS84, 2019.274]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.880, y=-0.440, z=2.610 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=90.000, zRot=180.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.000, y=-2.410, z=-1.380 m (x-right, y-fwd, z-up, IMU->SENSOR)
UTC Offset:  18 s
Geoid:       GEOID12B(CONUS).wpg [NAVD88] (Absolute correction)

Map projection Info:
  UTM Zone:    10

AccBdyX AccBdyY AccBdyZ VelBdyX VelBdyY VelBdyZ        Heading          Pitch           Roll         Easting        Northing        H-Ell       UTCTime   Undulation        H-MSL
(m/s^2) (m/s^2) (m/s^2)   (m/s)   (m/s)   (m/s)          (deg)          (deg)          (deg)             (m)             (m)          (m)         (sec)          (m)          (m)
 -0.230   0.121  -0.072   0.028  22.370  -0.104  71.1987379218   1.1200981120 -01.7498245655 589525.18382081 4140993.8885983      -27.517 1554924759.00      -32.641        5.124
 -0.617  -0.143   0.195   0.112  22.574  -0.111  70.9454103623   1.2612462648 -00.9885298135 589546.39355598 4141001.3068570      -27.151 1554924760.00      -32.641        5.490
  0.660   0.131   0.333   0.083  22.748  -0.126  70.2100190322   1.2281235747 -01.6103322607 589567.72342012 4141008.9457602      -26.790 1554924761.00      -32.640        5.850
 -0.140   0.814   0.062   0.079  22.936  -0.178  69.7960111886   1.2228752813 -01.5004561443 589589.12365399 4141016.9049933      -26.468 1554924762.00      -32.640        6.172
  0.293   0.074  -0.055   0.101  23.081  -0.095  69.5149925788   1.0468225396 -01.1608182225 589610.62491101 4141025.0441671      -26.122 1554924763.00      -32.640        6.518
 -3.148   0.306  -0.246   0.256  23.277  -0.158  68.8096242372   0.8206703683 -01.1559538108 589632.23302683 4141033.3940585      -25.848 1554924764.00      -32.640        6.792
  1.353   0.409  -1.010   0.068  23.359   0.122  68.5392741016   0.7808727198 -00.8362261724 589653.92438834 4141042.0260944      -25.610 1554924765.00      -32.640        7.030
  2.505   0.635  -2.210   0.076  23.376   0.058  68.3025336702   0.7565563910 -00.9967345691 589675.66188238 4141050.7887487      -25.400 1554924766.00      -32.640        7.240
  0.615   0.644   1.756   0.107  23.476  -0.330  67.7557199393   1.5757714465 -01.2597623042 589697.37172929 4141059.6893438      -25.290 1554924767.00      -32.640        7.349
 -0.024   0.022   0.159   0.122  23.529  -0.182  67.0280291620   0.3796361055 -01.1643591017 589718.94711700 4141068.8329379      -25.079 1554924768.00      -32.640        7.560
 -0.117  -0.115  -0.142   0.089  23.614  -0.112  66.8846579329   0.1985642535 -01.1503560132 589740.54056376 4141078.2221060      -25.016 1554924769.00      -32.639        7.623
  0.177   0.188   0.182   0.047  23.747  -0.135  66.7678432977   0.3620806786 -01.2333546794 589762.25225858 4141087.7010525      -25.037 1554924770.00      -32.639        7.602
  0.080   0.018   0.213   0.154  23.794  -0.113  66.2180616454   0.2171624635 -00.8997786511 589783.99309676 4141097.2999585      -25.059 1554924771.00      -32.639        7.580
 -1.105   0.028  -0.307   0.154  23.828  -0.121  65.5197063072   0.2276876982 -01.0780487394 589805.69181380 4141107.1276305      -25.104 1554924772.00      -32.639        7.535
 -0.311  -0.162   0.062   0.126  23.768  -0.114  64.6960966654   0.0267972361 -01.3274114310 589827.23802451 4141117.2499788      -25.185 1554924773.00      -32.639        7.454
 -0.783   0.145   0.393   0.084  23.680  -0.187  64.3451256384   0.2862669032 -01.7422729817 589848.56988950 4141127.5912706      -25.340 1554924774.00      -32.639        7.298
 -0.621  -0.001   0.108   0.085  23.708  -0.120  63.8142057567  -0.1013390452 -01.9975772457 589869.78582631 4141138.0667145      -25.341 1554924775.00      -32.638        7.298
  0.027  -0.018  -0.200   0.009  23.677  -0.112  63.7515127148   0.0084282092 -02.0916683748 589890.94441029 4141148.7672205      -25.476 1554924776.00      -32.638        7.162
  0.121   0.038   0.082   0.094  23.669  -0.107  63.6474406609  -0.0221562779 -01.7495610049 589912.06976239 4141159.4049454      -25.585 1554924777.00      -32.638        7.053
 -0.068   0.199  -0.155   0.101  23.710  -0.090  63.0824068721   0.0638847942 -01.8705295842 589933.16502593 4141170.1870110      -25.698 1554924778.00      -32.638        6.940
 -0.544  -0.200   0.202   0.027  23.778  -0.143  62.6909506473   0.3562365091 -01.6876701039 589954.22959314 4141181.1648626      -25.800 1554924779.00      -32.638        6.838
  0.096  -0.108  -0.064   0.099  23.805  -0.123  62.4153923253   0.0569061682 -01.4244189153 589975.23823154 4141192.2873616      -25.832 1554924780.00      -32.638        6.806
 -0.241   0.342  -0.418   0.057  23.856  -0.094  62.3739846654  -0.2241067120 -01.7884132730 589996.26530429 4141203.4835128      -25.960 1554924781.00      -32.637        6.677
 -0.098  -0.069  -0.056   0.102  23.924  -0.086  62.0378933524  -0.1595458276 -01.4184429655 590017.31998986 4141214.7947083      -26.147 1554924782.00      -32.637        6.490
 -0.201   0.390  -0.558   0.065  23.976  -0.089  61.9575818582  -0.1677391241 -01.0156650947 590038.38335782 4141226.2073330      -26.318 1554924783.00      -32.637        6.319
  0.176  -0.096   0.407   0.157  24.089  -0.143  61.8134944319  -0.1316943492 -00.3686525045 590059.51413889 4141237.6575492      -26.587 1554924784.00      -32.637        6.050
  0.510   0.278   0.006   0.138  24.190  -0.153  61.2146847811  -0.2696052905 000.1672635691 590080.66183728 4141249.2848502      -26.828 1554924785.00      -32.637        5.809
 -0.397   0.313  -0.360   0.120  24.280  -0.116  61.5944698556  -0.1803441956 001.0117403338 590101.86969598 4141261.0190605      -27.077 1554924786.00      -32.636        5.560
  0.179   0.284  -0.183   0.160  24.361  -0.151  61.3141101473   0.2922256643 001.1584805547 590123.19958285 4141272.7374013      -27.236 1554924787.00      -32.636        5.400
 -0.025  -0.056   0.137   0.128  24.376  -0.160  61.4962935374   0.5400528290 001.2292179241 590144.54115345 4141284.4939837      -27.216 1554924788.00      -32.636        5.420
  0.317  -0.108   0.286   0.194  24.357  -0.149  61.7577685568   0.7438023505 001.5902042533 590165.92977304 4141296.1631067      -27.102 1554924789.00      -32.636        5.534
  0.217   0.256  -0.136   0.210  24.335  -0.167  61.4774374963   0.7255880222 001.9086656550 590187.30948225 4141307.7860341      -26.929 1554924790.00      -32.636        5.707
 -0.337  -0.059  -0.484   0.159  24.223  -0.087  61.7793346882   1.1657112821 001.8725979618 590208.63917207 4141319.4100833      -26.664 1554924791.00      -32.636        5.972
  2.559   0.083  -2.868   0.227  24.039   0.033  61.5853827449   1.4055743334 001.2817008581 590229.93789738 4141330.9146387      -26.400 1554924792.00      -32.635        6.236
  0.569  -0.687   0.574   0.119  24.030  -0.052  61.7842965027   0.9671928652 000.9243241630 590251.06258139 4141342.4797312      -26.127 1554924793.00      -32.635        6.508
 -0.585  -0.260  -0.106   0.117  23.963   0.003  61.7172489815   1.2211965150 000.9885871093 590272.18534727 4141353.9488167      -25.862 1554924794.00      -32.635        6.773
  1.560   0.165   0.263   0.105  23.969  -0.131  61.8389853242   1.1833813005 001.4172111063 590293.27344263 4141365.3821416      -25.589 1554924795.00      -32.635        7.046
 -0.326   0.076   0.432   0.154  23.973  -0.212  61.8713001439   0.8143850213 001.5838845289 590314.34307824 4141376.7563625      -25.313 1554924796.00      -32.635        7.321
  0.350   0.122  -0.156   0.256  23.931  -0.111  61.2735332762   1.1197829852 001.8497484050 590335.39032894 4141388.1930847      -25.054 1554924797.00      -32.634        7.580
  0.495   0.236   0.115   0.193  23.940  -0.119  61.4983504559   0.9971356396 001.7858063150 590356.37120936 4141399.7365606      -24.779 1554924798.00      -32.634        7.855
 -0.144  -0.212   0.175   0.134  23.929  -0.209  61.5022866759   0.9197061232 001.4646061751 590377.33870980 4141411.2440329      -24.526 1554924799.00      -32.634        8.108
 -0.031  -0.339  -0.117   0.094  23.838  -0.154  61.6469298713   0.9835508103 001.5970396398 590398.26644541 4141422.7292816      -24.238 1554924800.00      -32.634        8.395
  0.320  -0.183  -0.167   0.045  23.650  -0.086  62.0048623355   0.9681554343 001.2713589699 590419.13292526 4141434.0748022      -23.979 1554924801.00      -32.634        8.655
  0.210  -1.348   0.642   0.263  23.538  -0.289  62.0921696443   0.4484139592 001.2992620146 590439.89582749 4141445.1861406      -23.759 1554924802.00      -32.633        8.874
 -0.397  -0.087  -0.646   0.125  23.185  -0.083  61.7658701800   1.1361294711 001.1416757026 590460.40163966 4141456.2702346      -23.522 1554924803.00      -32.633        9.111
 -0.151  -0.154   0.289   0.256  23.252  -0.190  61.5097523160   0.8335905666 001.2464467650 590480.79922759 4141467.3297558      -23.235 1554924804.00      -32.633        9.398
  0.974  -0.238  -1.529   0.097  23.240   0.079  61.5001495433   0.6769553645 001.2634005862 590501.16888637 4141478.5517629      -22.957 1554924805.00      -32.633        9.676
 -0.630  -0.063  -0.657   0.180  23.455  -0.098  61.9127765586   0.9778097732 001.6233154843 590521.69952041 4141489.7315948      -22.688 1554924806.00      -32.633        9.945
  0.210   0.482  -0.256   0.135  23.667  -0.151  61.7077550708   0.9047175472 001.3923619267 590542.42050915 4141500.9531989      -22.446 1554924807.00      -32.633       10.187
 -0.481   0.066  -0.147   0.161  23.853  -0.147  61.5870156747   0.7026467921 001.5961630144 590563.28396206 4141512.3132261      -22.226 1554924808.00      -32.632       10.407
  1.090   0.509  -0.247   0.138  24.032  -0.150  61.4085164032   0.7602576984 001.6197115798 590584.26646501 4141523.8522211      -22.052 1554924809.00      -32.632       10.580
 -0.658  -0.320  -0.030   0.109  24.168  -0.180  61.9339072421   0.7379581810 001.4669381133 590605.43329757 4141535.4158279      -21.903 1554924810.00      -32.632       10.729
  0.703  -0.404   0.059   0.198  23.958  -0.118  61.7144185700   0.7098546011 001.9832819487 590626.61001823 4141546.8822502      -21.768 1554924811.00      -32.632       10.864
 -0.417  -0.046  -0.421   0.166  23.722  -0.087  61.8732653891   0.5037330343 001.7916848620 590647.59943733 4141558.2157330      -21.663 1554924812.00      -32.632       10.969
 -0.823  -0.320   0.445   0.150  23.554  -0.173  61.1910846495   0.5930456954 001.2583012618 590668.34954341 4141569.5411799      -21.611 1554924813.00      -32.631       11.021
 -0.162  -0.089   0.054   0.155  23.369  -0.134  61.7233968186   0.3750123361 001.7619941891 590688.88904738 4141580.8597128      -21.598 1554924814.00      -32.631       11.033
 -0.306   0.028  -0.964   0.211  23.235  -0.122  61.3826015221   0.2290456082 001.5570987519 590709.33912780 4141592.0186451      -21.613 1554924815.00      -32.631       11.018
  0.665   0.055   0.092   0.085  23.222  -0.146  61.8642298447   0.1066389048 001.6911766056 590729.68435470 4141603.1852194      -21.695 1554924816.00      -32.631       10.936
 -0.300  -0.024   0.137   0.149  23.277  -0.101  62.0144765673   0.0327502676 000.6702975949 590750.14812579 4141614.2216247      -21.798 1554924817.00      -32.631       10.833
  0.003   0.296  -1.710   0.172  23.240   0.075  61.9904925540   0.8976644368 001.5035902235 590770.69732125 4141625.2766713      -21.965 1554924818.00      -32.630       10.665
 -0.393   0.357   0.764   0.143  23.402  -0.251  61.8879732157  -0.0489821619 001.3520887233 590791.23200331 4141636.3427585      -22.120 1554924819.00      -32.630       10.510
 -0.621   0.085   0.490   0.157  23.440  -0.068  61.8145773221  -0.2057491442 001.3325050258 590811.81823713 4141647.4749164      -22.326 1554924820.00      -32.630       10.304
 -0.357   0.035  -0.135   0.179  23.648  -0.064  61.5355526055  -0.4636317182 001.4689148177 590832.51357530 4141658.7123485      -22.612 1554924821.00      -32.630       10.018
  0.261   0.338  -0.480   0.103  23.930  -0.134  61.3914422609  -0.4651672451 001.1178521175 590853.33996752 4141670.2073554      -22.933 1554924822.00      -32.630        9.697
 -1.183  -0.229   0.065   0.094  24.227  -0.256  61.8556412073  -0.6735061586 001.1928866703 590874.41774937 4141681.7630176      -23.250 1554924823.00      -32.630        9.380
  1.353   0.362   0.694   0.125  24.410  -0.383  61.7968843854   0.4766264010 001.2801767904 590895.76858749 4141693.3604221      -23.595 1554924824.00      -32.629        9.034
 -0.451   0.519  -0.444   0.109  24.547  -0.116  61.7948446557  -0.3025847412 001.4341305499 590917.24630483 4141705.0415741      -23.793 1554924825.00      -32.629        8.836
  0.154  -0.067  -0.289   0.132  24.806  -0.156  61.9337067069  -0.6290274450 001.7057297336 590938.94490287 4141716.7807563      -24.157 1554924826.00      -32.629        8.472
  0.055  -0.107  -0.202   0.147  24.941  -0.122  62.4964028279  -0.5449745364 001.6146867399 590960.90769433 4141728.5096676      -24.561 1554924827.00      -32.629        8.068
  0.584  -0.096   0.001   0.106  25.071  -0.139  63.3118592803  -0.7374768964 001.9288280398 590983.07577729 4141740.0664543      -25.016 1554924828.00      -32.629        7.613
  1.288   0.500   0.210  -0.023  25.134  -0.164  65.4567325159  -0.5811510916 002.3045336548 591005.56418387 4141751.2108359      -25.479 1554924829.00      -32.628        7.149
  1.636  -0.057  -0.152   0.071  25.080  -0.116  66.8401219235  -0.3003215579 002.5254661806 591028.46264741 4141761.5515851      -25.863 1554924830.00      -32.628        6.765
  0.440  -0.331  -0.674   0.022  24.909  -0.073  68.3834295813  -0.2022025355 002.9404194046 591051.48109142 4141771.3394102      -26.079 1554924831.00      -32.628        6.549
  1.027  -0.152   0.457  -0.015  24.607  -0.188  70.6092846717   0.3567693599 002.2096575735 591074.58691054 4141780.2685879      -26.238 1554924832.00      -32.628        6.390
  1.718  -0.818  -0.339  -0.023  24.143  -0.075  72.1398841257   0.5601006222 001.8224756139 591097.58867830 4141788.3216039      -26.176 1554924833.00      -32.628        6.452
 -0.641  -0.570   0.557  -0.037  23.872  -0.144  74.6405297746   0.4925660869 002.4709034098 591120.46356828 4141795.4662741      -26.045 1554924834.00      -32.628        6.583
  0.615  -0.274   0.138  -0.003  23.691  -0.099  76.1950043799   0.8594767997 002.4407715594 591143.39489000 4141801.6890232      -25.921 1554924835.00      -32.627        6.706
  0.667   0.110  -0.265   0.024  23.657  -0.104  78.4059682972   0.4995905495 002.5311556515 591166.42249696 4141807.1461254      -25.789 1554924836.00      -32.627        6.838
  0.985  -0.199  -0.147   0.015  23.575  -0.085  79.8062141231   0.6802727902 002.6757701990 591189.56651285 4141811.8339762      -25.640 1554924837.00      -32.627        6.987
  0.836  -0.166  -0.561   0.043  23.568  -0.086  82.0173212799   0.5643004028 002.6896472368 591212.79996825 4141815.8152298      -25.509 1554924838.00      -32.627        7.118
  0.449  -0.078   0.201   0.049  23.595  -0.125  83.3554642104   0.5199591991 002.5579299693 591236.15970406 4141819.0136036      -25.420 1554924839.00      -32.627        7.207
  1.115  -0.054  -0.140   0.029  23.632  -0.107  84.9270989016   0.3768228827 001.8114633651 591259.61756490 4141821.6594345      -25.370 1554924840.00      -32.627        7.257
  2.399   0.418  -2.662   0.064  23.539   0.006  86.7291886772   1.2288283128 001.4794056749 591283.18508294 4141823.6113835      -25.281 1554924841.00      -32.627        7.346
  0.745   0.233   0.787   0.111  23.718  -0.280  87.3583880095   0.4120712463 000.9731688150 591306.76643132 4141825.0013421      -25.201 1554924842.00      -32.627        7.426
 -0.437  -0.005  -0.125   0.156  23.735  -0.034  87.5064574925   0.1624851011 001.2706943389 591330.44152423 4141826.2101148      -25.198 1554924843.00      -32.627        7.429
 -0.413  -0.272  -0.510   0.314  24.036  -0.419  86.8822142451   0.0632946476 001.6168353317 591354.28247721 4141827.4132973      -25.305 1554924844.00      -32.627        7.322
  0.426   1.891   2.106   0.010  24.224  -0.666  87.1837390144   0.1616142053 000.3899550754 591378.24558796 4141828.8073186      -25.524 1554924845.00      -32.626        7.102
  0.083   0.029  -0.303   0.127  24.276  -0.116  87.2137791916   0.1875577342 000.9535793880 591402.38267720 4141830.1359047      -25.582 1554924846.00      -32.626        7.044
 -0.939   0.623  -0.193   0.124  24.525  -0.136  87.2353625117  -0.1380026145 000.8387529163 591426.74324364 4141831.4429156      -25.703 1554924847.00      -32.626        6.924
  0.169   0.301  -0.245   0.133  24.786  -0.158  87.4455692676  -0.2217002892 000.6212123006 591451.36767242 4141832.7542926      -25.942 1554924848.00      -32.626        6.684
  0.988  -0.279   0.524   0.165  24.774  -0.135  87.5272386717  -0.4128275505 001.0940800985 591476.14261070 4141833.9840446      -26.262 1554924849.00      -32.626        6.364
  0.844   0.202   0.152   0.082  24.822  -0.141  87.1468920986  -0.5369760456 000.9135067198 591500.87096123 4141835.2645345      -26.659 1554924850.00      -32.626        5.967
  0.294   0.163   0.023   0.102  25.041  -0.189  87.4669176750  -0.5043346400 001.0008025695 591525.75251377 4141836.5814919      -27.039 1554924851.00      -32.626        5.587
 -0.146   0.192  -0.058   0.166  25.191  -0.162  87.2853072427  -0.5086604714 000.9448818887 591550.82292941 4141837.8407899      -27.394 1554924852.00      -32.626        5.232
 -0.173   0.315  -0.674   0.147  25.244  -0.124  87.1383263795  -0.7062793445 000.9641160819 591576.01858417 4141839.2004789      -27.771 1554924853.00      -32.626        4.855
  0.128  -0.021  -0.009   0.150  25.205  -0.152  87.3846237469  -0.3846781341 001.5362488178 591601.19474894 4141840.5809532      -28.146 1554924854.00      -32.626        4.480
  0.192   0.137  -0.550   0.203  25.253  -0.081  87.2759852194  -0.2819468014 001.3357708853 591626.37598457 4141841.8381374      -28.435 1554924855.00      -32.626        4.191
  0.563   0.018   0.432   0.208  25.378  -0.214  86.7440397432   0.0023605861 001.1330756061 591651.65341128 4141843.2571170      -28.686 1554924856.00      -32.626        3.939
 -2.532   0.400  -0.118   0.199  25.385  -0.109  87.1520143412   0.0990758619 001.2872413600 591676.99442045 4141844.7597488      -28.840 1554924857.00      -32.626        3.785
  0.588  -0.778   0.682   0.049  25.457  -0.124  87.2511188511   0.0639077125 001.2016873020 591702.39096840 4141846.1803486      -28.951 1554924858.00      -32.626        3.675
  0.629   0.157  -0.403   0.148  25.513  -0.081  87.3172782877   0.0642056505 000.8812090889 591727.84465913 4141847.5314652      -29.014 1554924859.00      -32.625        3.611
  0.006  -0.180  -0.777   0.179  25.604  -0.104  87.2355343990   0.0723874878 001.0817615059 591753.38100102 4141848.8922161      -29.144 1554924860.00      -32.625        3.481
 -0.083   0.070   0.530   0.159  25.745  -0.177  87.1619265111  -0.0157964464 001.1476803003 591779.01316805 4141850.2866975      -29.325 1554924861.00      -32.625        3.300
 -0.054   0.040  -0.288   0.104  25.879  -0.180  87.4694157710  -0.1814614633 000.9252294363 591804.76838182 4141851.6626568      -29.525 1554924862.00      -32.625        3.100
  0.588   0.161   0.196   0.270  25.966  -0.181  87.1116093575   0.1011728875 001.7856458868 591830.64815496 4141852.9872367      -29.714 1554924863.00      -32.625        2.911
 -0.839   0.351   0.610   0.213  26.041  -0.174  86.9920960910   0.1038314116 001.3858473966 591856.60512209 4141854.4440936      -29.884 1554924864.00      -32.625        2.741
 -0.632  -0.141   0.565   0.244  26.166  -0.265  86.3970794208  -0.1491466437 001.8102716129 591882.63825225 4141855.9880605      -30.099 1554924865.00      -32.625        2.526
  0.910  -0.166  -0.147   0.104  26.070  -0.139  86.1909693132   0.0613637799 001.1616833888 591908.69945606 4141857.7917157      -30.213 1554924866.00      -32.625        2.412
  0.123   0.025  -0.240   0.233  25.837  -0.134  85.5597990060   0.0798932350 001.5267090705 591934.56478435 4141859.6962935      -30.341 1554924867.00      -32.625        2.284
  0.480  -0.036   0.181   0.157  25.712  -0.176  85.3115765005   0.3116260152 001.4508036218 591960.24234397 4141861.8751118      -30.463 1554924868.00      -32.625        2.162
 -0.159  -0.447   0.508   0.212  25.617  -0.193  85.1677526347   0.2387228653 001.9011541783 591985.78743424 4141864.1000961      -30.559 1554924869.00      -32.625        2.066
 -0.721  -0.152   0.226   0.160  25.510  -0.132  84.6369874516   0.2225310781 001.1127527931 592011.23263883 4141866.4535954      -30.619 1554924870.00      -32.625        2.005
  0.597   0.001  -0.333   0.168  25.450  -0.178  84.3325062201   0.1248303148 000.8454049563 592036.57465033 4141868.9881701      -30.653 1554924871.00      -32.624        1.971
  0.158   0.049   0.136   0.138  25.388  -0.195  83.8557022022  -0.0546315258 001.0279779577 592061.82174427 4141871.7009686      -30.760 1554924872.00      -32.624        1.864
  0.924  -0.013   0.574   0.167  25.333  -0.264  83.7091453278   0.5033720709 001.4684679106 592087.00602072 4141874.5566507      -30.870 1554924873.00      -32.624        1.754
  0.620  -0.215   0.582   0.085  25.258  -0.218  83.8501502412   0.6171557594 001.4514682528 592112.10138308 4141877.4637628      -30.830 1554924874.00      -32.624        1.794
  0.193  -0.358  -0.198   0.176  25.194  -0.164  83.9332692285   0.1835355705 002.4227291184 592137.13936117 4141880.2558898      -30.722 1554924875.00      -32.624        1.903
  0.485   0.141  -0.113   0.147  25.222  -0.184  83.9990562425   0.2820212859 002.3437067793 592162.19377548 4141882.9948444      -30.805 1554924876.00      -32.624        1.819
 -0.127  -0.047  -0.147   0.152  25.195  -0.144  84.1249637180   0.3090075981 002.0992256881 592187.25947877 4141885.6917063      -30.822 1554924877.00      -32.624        1.802
 -0.058  -0.128  -0.117   0.164  25.143  -0.165  84.0172361934   0.3721590062 002.0000409642 592212.29340159 4141888.3579440      -30.855 1554924878.00      -32.624        1.769
  0.748  -0.248  -0.230   0.001  25.068  -0.135  85.0320132035   0.3725142401 001.7384227054 592237.26092435 4141890.9998947      -30.881 1554924879.00      -32.624        1.742
 -0.188  -0.120  -0.279   0.188  25.015  -0.151  86.0248115526   0.3211084667 002.0459635315 592262.20714878 4141893.0978680      -30.878 1554924880.00      -32.624        1.745
  0.986  -0.277  -0.005  -0.026  24.911  -0.123  87.1394149993   0.3741528994 000.9903403601 592287.11124566 4141894.8753403      -30.885 1554924881.00      -32.624        1.739
  0.684  -0.085   0.245  -0.097  24.698  -0.142  88.8781986681   0.3201229793 000.8078590320 592311.87726885 4141896.0586889      -30.861 1554924882.00      -32.624        1.762
 -0.736  -0.021   0.040   0.144  24.486  -0.128  89.2444848570   0.4671611383 001.2110494324 592336.45483765 4141896.6200367      -30.811 1554924883.00      -32.623        1.812
  0.126  -0.085  -0.147   0.038  24.311  -0.127  89.8839859704   0.5331887946 000.8804126776 592360.84170398 4141897.0217688      -30.736 1554924884.00      -32.623        1.887
 -0.266  -0.060  -0.238   0.152  24.157  -0.140  89.7473469954   0.5142009732 001.1763682971 592385.06579002 4141897.2344300      -30.672 1554924885.00      -32.623        1.952
  0.124  -0.157  -0.330   0.077  24.058  -0.111  89.8845016324   0.3607227687 000.8084549081 592409.16038942 4141897.4972161      -30.578 1554924886.00      -32.623        2.045
 -0.260  -0.200  -0.092   0.118  24.002  -0.153  89.9164096520   0.4766378602 000.9691752992 592433.18788209 4141897.6729513      -30.566 1554924887.00      -32.623        2.057
 -0.006   0.022  -0.104   0.156  23.930  -0.141  89.9817497590   0.4076766600 001.3179633570 592457.13992844 4141897.8490973      -30.523 1554924888.00      -32.623        2.100
 -0.181  -0.217   0.104   0.121  23.941  -0.131  89.8598300698   0.2351991749 001.5181662698 592481.05687529 4141897.9781031      -30.529 1554924889.00      -32.623        2.094
 -0.023  -0.147  -0.023   0.144  23.949  -0.152  89.8322364224   0.3996896283 001.3080683759 592504.99782053 4141898.1884619      -30.523 1554924890.00      -32.623        2.100
  0.015   0.216   0.155   0.118  23.973  -0.149  89.9875824693   0.2799242604 001.2294986734 592528.94630470 4141898.3696475      -30.525 1554924891.00      -32.623        2.098
 -0.292   0.111   0.117   0.178  23.990  -0.116  89.5038914987   0.3660512762 000.9739996038 592552.92523126 4141898.5840147      -30.522 1554924892.00      -32.623        2.101
  0.659  -0.006   0.083   0.056  24.001  -0.102  89.6403356680   0.3749206628 001.0567977348 592576.91068301 4141898.9453691      -30.508 1554924893.00      -32.623        2.114
 -0.375   0.094  -0.391   0.167  24.096  -0.117  89.7326620871   0.3285569180 001.4870775798 592600.95700560 4141899.2062088      -30.511 1554924894.00      -32.623        2.112
  0.408   0.365   0.071   0.078  24.233  -0.140  89.7756281922   0.3239388782 001.4258856873 592625.11966076 4141899.4750107      -30.518 1554924895.00      -32.623        2.105
  0.206   0.151  -0.462   0.152  24.348  -0.142  89.8825478463   0.3684347806 001.4665771499 592649.40860498 4141899.6758652      -30.524 1554924896.00      -32.622        2.098
  0.673   0.066  -0.134   0.157  24.456  -0.128  89.6423753978   0.2956634110 001.5340142824 592673.80653950 4141899.9015314      -30.520 1554924897.00      -32.622        2.103
 -1.289  -1.122   0.414   0.112  24.315  -0.094  89.8623052474   0.1450671841 001.7556744646 592698.25627626 4141900.1529082      -30.506 1554924898.00      -32.622        2.116
 -1.399  -0.892  -0.691   0.278  24.040  -0.067  89.8458040629   0.1318490478 001.5733764829 592722.45397994 4141900.2981046      -30.535 1554924899.00      -32.622        2.087
  1.721  -0.202   0.326   0.246  23.766  -0.096  89.6280915599   0.4848368862 002.0322698402 592746.35772373 4141900.4817191      -30.564 1554924900.00      -32.622        2.058
  1.606   0.353  -1.319   0.141  23.612  -0.083  89.6516229366   0.4814449761 001.8646968738 592770.05992578 4141900.7360904      -30.544 1554924901.00      -32.622        2.078
  0.140   0.904  -1.348   0.118  23.749  -0.135  89.8943278586   0.3216126696 001.7664689894 592793.73468351 4141900.9723836      -30.532 1554924902.00      -32.622        2.090
 -0.286  -0.327  -0.219   0.163  23.936  -0.173  89.8915031767   0.3771093616 001.7460430440 592817.57180245 4141901.1394449      -30.542 1554924903.00      -32.622        2.080
 -0.449   0.515   0.233   0.156  24.075  -0.178  89.7610979825   0.4194795905 001.9904439211 592841.56541058 4141901.3022646      -30.546 1554924904.00      -32.622        2.076
 -2.652  -0.697   0.998   0.157  24.278  -0.216  89.6552039228   0.2321624986 002.2950397442 592865.71011092 4141901.5141901      -30.548 1554924905.00      -32.622        2.074
  1.634  -1.028  -1.106   0.184  24.050  -0.158  89.5721365017   0.5717144767 001.9666719022 592889.87240356 4141901.7674693      -30.543 1554924906.00      -32.622        2.079
 -1.878   0.255  -1.470   0.462  23.942  -0.177  89.6757559189   0.7112583477 002.0085035508 592913.85155848 4141902.0253975      -30.510 1554924907.00      -32.621        2.111
 -0.365  -0.130  -0.935   0.224  24.079  -0.169  89.4787501106   0.6273257603 001.9035376828 592937.88287692 4141902.2941098      -30.452 1554924908.00      -32.621        2.169
 -0.359  -0.153   0.504   0.146  24.195  -0.150  89.6009104421   0.4572088614 001.7019768600 592962.02195153 4141902.5799953      -30.398 1554924909.00      -32.621        2.223
 -0.338  -0.137   0.011   0.156  24.300  -0.169  89.5647911827   0.5158740100 001.6213846166 592986.26961076 4141902.8937929      -30.369 1554924910.00      -32.621        2.252
 -0.358   0.354   0.068   0.144  24.411  -0.182  89.6854446352   0.7183802131 001.8383064378 593010.61857599 4141903.1869814      -30.292 1554924911.00      -32.621        2.329
  0.127   0.229  -0.367   0.122  24.557  -0.186  89.5056562087   0.5676923130 001.6148127906 593035.08566521 4141903.4626315      -30.201 1554924912.00      -32.621        2.420
 -0.260   0.347  -0.051   0.079  24.674  -0.162  89.8380920510   0.5669417383 001.7038447024 593059.69819315 4141903.7596091      -30.148 1554924913.00      -32.621        2.473
 -0.244  -0.031   0.370   0.195  24.799  -0.177  89.8120396601   0.5180283313 001.9113184496 593084.43656046 4141903.9554296      -30.111 1554924914.00      -32.621        2.509
