
Project:     session
Program:     Inertial Explorer Version 8.70.6912
Profile:     Mapper Localization Output
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\mapper.ai\Desktop\paccar_dual_lidar_collect_20190410\session.cts
ProcessInfo: session by Unknown on 4/11/2019 at 11:34:22

Datum:       WGS84
Master 1:    Name P221, Status ENABLED
             Antenna height 0.008 m, to ARP [TRM59800.00(SCIT)]
             Lat, Lon, El Hgt 37 20 13.03169, -122 05 56.59197, 155.301 m [WGS84, 2019.274]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.880, y=-0.440, z=2.610 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=90.000, zRot=180.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.000, y=-2.410, z=-1.380 m (x-right, y-fwd, z-up, IMU->SENSOR)
UTC Offset:  18 s
Geoid:       GEOID12B(CONUS).wpg [NAVD88] (Absolute correction)

Map projection Info:
  UTM Zone:    10

AccBdyX AccBdyY AccBdyZ VelBdyX VelBdyY VelBdyZ        Heading          Pitch           Roll         Easting        Northing        H-Ell       UTCTime   Undulation        H-MSL
(m/s^2) (m/s^2) (m/s^2)   (m/s)   (m/s)   (m/s)          (deg)          (deg)          (deg)             (m)             (m)          (m)         (sec)          (m)          (m)
 -0.418  -0.010  -0.133   0.008   1.447   0.007 -179.045025665   0.5940827490 -00.0852332016 589431.06756552 4140704.9179836      -30.904 1554924493.00      -32.644        1.741
 -0.365   0.143  -0.200   0.016   1.452   0.007 -178.912477609   0.4277015349 -00.3427032460 589431.05645227 4140703.4685262      -30.884 1554924494.00      -32.644        1.760
  0.153  -0.077   0.106  -0.002   1.574  -0.004 -178.754656384   0.3578522501 -00.3509767566 589431.04408722 4140701.9609291      -30.871 1554924495.00      -32.644        1.773
 -0.157   0.063  -0.061  -0.011   1.724  -0.009 -178.129335976   0.3598747911 -00.5209618752 589431.01877301 4140700.3311846      -30.874 1554924496.00      -32.644        1.770
  0.085   0.340  -0.015   0.001   1.826   0.002 -177.446433310   0.2396968936 -00.3430928573 589430.97190253 4140698.5527343      -30.868 1554924497.00      -32.644        1.776
 -0.031   0.187  -0.157  -0.012   1.970  -0.004 -177.453245778   0.1363066595 -00.4864125202 589430.90476442 4140696.6672564      -30.861 1554924498.00      -32.644        1.783
 -0.047   0.118  -0.154   0.012   2.002  -0.005 -177.579686104  -0.0731667104 -00.2811790380 589430.84258726 4140694.6783933      -30.863 1554924499.00      -32.644        1.781
  0.083  -0.044   0.023  -0.007   2.017   0.001 -178.084284305  -0.1436347897 -00.8044040965 589430.77530499 4140692.6645823      -30.870 1554924500.00      -32.644        1.774
  0.016   0.108  -0.207   0.039   2.067  -0.009 -177.903630712  -0.3063891809 -00.5004385270 589430.72720863 4140690.6288197      -30.876 1554924501.00      -32.644        1.768
 -0.103   0.038  -0.060  -0.012   2.085   0.009 -177.936048664  -0.3292788449 -01.0655811778 589430.66122724 4140688.5472314      -30.892 1554924502.00      -32.644        1.753
 -0.103   0.035  -0.050  -0.029   2.081   0.031 -178.202726140  -0.5420066150 -00.7252442475 589430.61634649 4140686.4474675      -30.906 1554924503.00      -32.644        1.739
 -0.099   0.047  -0.071  -0.023   2.054  -0.007 -179.352308660  -0.5814031930 -00.4574781515 589430.60068402 4140684.3690678      -30.926 1554924504.00      -32.644        1.719
 -0.050   0.187   0.016  -0.003   2.057  -0.028 175.8073610749  -0.3396665697 -00.1227504780 589430.68929228 4140682.3311638      -30.965 1554924505.00      -32.644        1.680
 -0.617  -0.005  -0.279  -0.009   2.052   0.008 166.8401876994  -0.2927986220 000.1249047993 589431.00795697 4140680.3095286      -30.991 1554924506.00      -32.644        1.654
 -0.299  -0.024   0.082   0.049   2.101   0.001 155.0181948139  -0.3840192326 000.4897070275 589431.69411529 4140678.3400337      -31.012 1554924507.00      -32.645        1.632
 -0.324   0.076   0.125   0.016   2.111   0.007 141.7886909975  -0.7924006307 001.1052756939 589432.80342536 4140676.5479715      -31.026 1554924508.00      -32.645        1.619
 -0.186  -0.123  -0.056   0.031   2.129   0.020 128.6916263756  -1.0605907154 001.8629608117 589434.29480161 4140675.0503316      -31.043 1554924509.00      -32.645        1.602
 -0.554  -0.148   0.043   0.030   2.112   0.007 115.8871598404  -1.1236733687 003.5575064091 589436.10549914 4140673.9274300      -31.086 1554924510.00      -32.645        1.558
 -0.014  -0.153  -0.161   0.049   2.134  -0.016 104.1437251982  -0.2295555406 002.3593084201 589438.08415514 4140673.1929248      -31.122 1554924511.00      -32.645        1.522
 -0.163   0.029   0.047   0.034   2.161  -0.034  96.6953254277   0.3661314902 001.6680405698 589440.19176110 4140672.8153104      -31.141 1554924512.00      -32.645        1.503
 -0.243  -0.038   0.070  -0.006   2.118  -0.010  93.3705602045   0.6152936466 001.5063404209 589442.33263715 4140672.6497737      -31.142 1554924513.00      -32.645        1.502
 -0.025  -0.058  -0.150  -0.022   2.055   0.009  91.6012493444   0.6458724041 000.4761393869 589444.41082268 4140672.5831672      -31.130 1554924514.00      -32.645        1.515
 -0.049   0.014   0.015  -0.005   2.116   0.003  90.9929171350   0.6285461604 000.3709672540 589446.48584442 4140672.5664062      -31.116 1554924515.00      -32.645        1.529
  0.215   0.036   0.054  -0.017   2.155  -0.030  90.4174841622   0.6115522322 000.2565705007 589448.61483531 4140672.5668122      -31.105 1554924516.00      -32.645        1.540
  0.141   0.072   0.033   0.003   2.171  -0.025  89.8584721598   0.6127153365 -00.0853191453 589450.77843148 4140672.5786569      -31.091 1554924517.00      -32.645        1.554
  0.108   0.077  -0.048  -0.003   2.149  -0.013  89.8051756257   0.6935195744 000.1599010615 589452.93337930 4140672.6062037      -31.079 1554924518.00      -32.645        1.566
 -0.164  -0.200  -0.113   0.011   2.062  -0.016  89.5150527165   0.7258343940 000.2395078175 589455.05244444 4140672.6357761      -31.066 1554924519.00      -32.645        1.578
 -0.266   0.226   0.138  -0.010   1.963  -0.014  89.3319067573   0.5687981215 000.2162400015 589457.03101061 4140672.6780763      -31.053 1554924520.00      -32.645        1.591
 -0.013   0.013  -0.162  -0.001   2.054   0.025  89.2110183921   0.1396126259 -00.2118224969 589459.07649089 4140672.7145107      -31.035 1554924521.00      -32.645        1.610
  0.044   0.006  -0.180  -0.002   2.105   0.003  89.1401091354  -0.3733278402 000.0391158287 589461.16560933 4140672.7687145      -31.021 1554924522.00      -32.645        1.624
  0.003   0.035  -0.015  -0.008   2.111  -0.014  89.0397383889  -0.4409597783 000.0496582521 589463.26598328 4140672.8273774      -31.031 1554924523.00      -32.645        1.613
  0.040  -0.007  -0.136  -0.013   2.116  -0.022  88.9703073632  -0.1799202068 000.1129242518 589465.38601947 4140672.8930351      -31.063 1554924524.00      -32.645        1.581
  0.086   0.049  -0.064   0.033   2.102  -0.009  88.6443803215   0.0441234798 000.0899887513 589467.49044761 4140672.9534864      -31.090 1554924525.00      -32.645        1.554
 -0.076  -0.184  -0.038   0.023   2.132   0.001  88.6812558852  -0.2359898567 000.0739573922 589469.63313105 4140673.0236716      -31.102 1554924526.00      -32.645        1.542
  0.035   0.029   0.036  -0.016   2.081  -0.002  88.8399308170  -0.5220333063 000.4245273487 589471.70096970 4140673.0980349      -31.107 1554924527.00      -32.645        1.538
  0.185   0.077  -0.227   0.009   2.065  -0.049  88.9923547792  -0.4326518903 000.9859113964 589473.76462322 4140673.1673709      -31.122 1554924528.00      -32.645        1.523
  0.090   0.072   0.043   0.023   2.126  -0.052  89.3312994221  -0.1083291303 001.5429123169 589475.85642156 4140673.2231907      -31.166 1554924529.00      -32.644        1.479
  0.034  -0.028  -0.027   0.036   2.041  -0.012  89.3048402311   0.1424602262 001.9558429999 589477.93069643 4140673.2548872      -31.190 1554924530.00      -32.644        1.455
 -0.022  -0.120   0.073   0.017   2.040  -0.014  88.9158534544   0.4588360615 001.5137774130 589479.99243270 4140673.2803192      -31.194 1554924531.00      -32.644        1.450
 -0.046   0.047  -0.004   0.007   2.093  -0.032  88.5885054773   0.8467227592 001.3039602685 589482.07708185 4140673.3249312      -31.194 1554924532.00      -32.644        1.451
  0.199  -0.097   0.137   0.029   2.083  -0.016  88.3314937991   1.1262803266 000.7252155996 589484.16391115 4140673.3873957      -31.183 1554924533.00      -32.644        1.461
  0.058   0.059  -0.098   0.021   2.080  -0.020  88.5601440664   0.9848743428 000.2962822054 589486.23344887 4140673.4701027      -31.149 1554924534.00      -32.644        1.495
 -0.033  -0.211   0.033   0.021   2.000  -0.003  88.6802016428   0.8135542325 -00.6550569176 589488.28315619 4140673.5271153      -31.115 1554924535.00      -32.644        1.530
  0.167  -0.302  -0.058  -0.003   1.387  -0.024  88.8353987208   0.5464986042 -01.1639580312 589489.95065339 4140673.5801790      -31.085 1554924536.00      -32.644        1.559
  0.160   0.181  -0.068  -0.008   1.067  -0.004  88.9588596665   0.3518820299 -01.2332286287 589491.09897419 4140673.6148228      -31.076 1554924537.00      -32.644        1.569
  0.026   0.030   0.029   0.002   1.173   0.013  89.0913848045   0.0843680353 -01.3296459664 589492.24426084 4140673.6404429      -31.068 1554924538.00      -32.644        1.577
 -0.193   0.051  -0.079   0.004   1.099   0.010  89.2929227090  -0.1839652889 -01.6926376480 589493.38569586 4140673.6692521      -31.055 1554924539.00      -32.644        1.589
  0.015   0.022   0.152   0.003   1.141  -0.008  89.9109550938  -0.3630604365 -01.2433699816 589494.50024405 4140673.7060872      -31.057 1554924540.00      -32.644        1.587
 -0.135  -0.330   0.231  -0.006   1.157   0.017  90.6302233915  -0.7926756504 -01.3830513625 589495.65975980 4140673.7156074      -31.057 1554924541.00      -32.644        1.588
  0.253   0.021  -0.100   0.004   1.120   0.015  92.0709372265  -1.6209892757 -02.0877894505 589496.80885357 4140673.6940952      -31.065 1554924542.00      -32.644        1.579
  0.224   0.631  -0.346  -0.062   1.111  -0.017  94.2012630638  -1.8874547575 -01.2039734036 589497.91913380 4140673.6647485      -31.077 1554924543.00      -32.644        1.568
  0.133   0.369  -0.282   0.009   1.323  -0.004  97.4926019292  -1.2399895306 -01.7503803345 589499.22686166 4140673.5333662      -31.102 1554924544.00      -32.644        1.542
 -0.142   0.272  -0.017   0.028   1.382  -0.096 104.3621137913  -0.6723717022 -01.4937525381 589500.56944416 4140673.2893371      -31.136 1554924545.00      -32.644        1.509
  0.366   0.150  -0.307   0.044   1.464  -0.112 113.9812214645   0.4262233038 -01.4164204245 589501.87856367 4140672.8182133      -31.211 1554924546.00      -32.644        1.433
  0.512   0.102   0.421   0.031   1.578  -0.050 124.7565407795   1.4559831603 -01.1042042628 589503.16802441 4140672.0422564      -31.278 1554924547.00      -32.644        1.366
 -0.588   0.129  -0.598  -0.050   1.715   0.006 136.8064677350   1.4509010246 -00.2225425372 589504.40206647 4140670.9693978      -31.262 1554924548.00      -32.644        1.383
  0.044   0.224  -0.015  -0.015   2.144  -0.007 149.7739063855   1.1556845207 000.1422711501 589505.56824218 4140669.4160359      -31.220 1554924549.00      -32.644        1.424
  0.432  -0.178  -0.235   0.027   2.333   0.018 159.8151063367   0.8352177667 -00.0032544003 589506.53791836 4140667.3410773      -31.180 1554924550.00      -32.645        1.464
  0.366   1.009   0.194   0.007   2.385  -0.012 167.9942622087   0.7305441071 000.4450850744 589507.18163751 4140665.1740350      -31.163 1554924551.00      -32.645        1.482
  0.376   0.415   0.063   0.005   3.252   0.009 174.6048888207   0.5161776776 001.1380775276 589507.59880576 4140662.4439106      -31.142 1554924552.00      -32.645        1.502
  0.489   0.073   0.036   0.018   3.697  -0.019 177.6876366712   0.3732017894 000.7241785460 589507.82272520 4140658.9118602      -31.124 1554924553.00      -32.645        1.521
  0.106  -0.396   0.350   0.037   3.640  -0.020 179.1402852171   0.3970253746 000.7089034912 589507.92998328 4140655.2190522      -31.115 1554924554.00      -32.645        1.529
 -0.042   0.632   0.200   0.013   3.854  -0.030 179.9722027469   0.5192372723 000.8857812921 589507.98091392 4140651.5413814      -31.109 1554924555.00      -32.645        1.536
 -0.355   0.963   0.146   0.047   4.922  -0.036 -179.910873755   0.5741380882 001.1787632607 589508.00726329 4140647.1776970      -31.096 1554924556.00      -32.645        1.549
  0.173   0.849  -0.111   0.032   5.836  -0.026 -179.895449732   0.3937308672 001.5431128522 589508.02932070 4140641.7864215      -31.073 1554924557.00      -32.645        1.572
 -0.068   0.463  -0.501   0.031   6.568  -0.027 -179.825783793   0.4813991395 001.7180368670 589508.03850381 4140635.5574926      -31.063 1554924558.00      -32.645        1.582
  0.200  -0.257  -0.227   0.045   6.889  -0.035 179.8683885240   0.5836319989 001.3456143002 589508.05154901 4140628.7294460      -31.032 1554924559.00      -32.645        1.612
  0.233  -0.164   0.510   0.011   6.794  -0.012 179.9206480045   0.2863299285 000.8990509947 589508.11357354 4140621.9124598      -30.990 1554924560.00      -32.645        1.655
 -0.056   1.615   0.289   0.033   7.691  -0.065 -179.946322654   0.5690387638 001.4614205297 589508.16700120 4140614.8172273      -30.993 1554924561.00      -32.645        1.652
 -0.260  -0.186   0.358   0.074   8.761  -0.028 -179.909160612   0.6156431509 001.1812670862 589508.19371440 4140606.4340686      -30.947 1554924562.00      -32.645        1.698
  0.570   0.498  -0.400   0.000   8.766  -0.027 179.9265838472   0.2688547158 000.5224458359 589508.24903203 4140597.7082839      -30.908 1554924563.00      -32.645        1.737
  0.841   0.187   0.413   0.013   8.891  -0.060 -179.968307045   0.4259196362 000.9807433171 589508.32162051 4140588.8354117      -30.905 1554924564.00      -32.645        1.741
